Time(ms),GPS Time(ms),Lat,Lon,Accuracy,GPS Altitude,GPS Speed,GPS Bearing,Map Bearing,Snapped Lat,Snapped Lon,Snapped Start Node,Snapped End Node,WiFi Time(ms),Wifi Lat,Wifi Lon,Wifi Accuracy,Wifi Altitude,GPS to Wifi Distance,Accel Sensor Time(ms),Ax,Ay,Az,Gyro Sensor Time(ms),Gx,Gy,Gz,Magn Sensor Time(ms),Mx,My,Mz,Pressure Sensor Time(ms),Pressure,Temperature Sensor Time(ms),Temperature,Light Sensor Time(ms),Light,EKF Elevation,Vertical Velocity,Google Elevation
1746544176601,1746536747898,48.537772,35.079384,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746544176830,1003.861,0,0,0,0,20.23442,0.1591952,25.67483
1746544176601,1746536747898,48.537772,35.079384,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746544176830,1003.861,1746544176601,13,0,0,20.23442,0.1591952,25.67483
1746544176652,1746536747898,48.537772,35.079384,21,0,0,0,0,48.5376373917,35.0789939068,7697433698,7697433695,0,0,0,0,0,0,1746544176803,0.2213361,1.251446,8.499306,0,0,0,0,0,0,0,0,1746544176830,1003.861,1746544176601,13,0,0,20.23442,0.1591952,25.67483
1746544176655,1746536747898,48.537772,35.079384,21,0,0,0,0,48.5376373917,35.0789939068,7697433698,7697433695,0,0,0,0,0,0,1746544176803,0.2213361,1.251446,8.499306,1746544176810,-0.01771457,0.02794626,0.005803049,0,0,0,0,1746544176830,1003.861,1746544176601,13,0,0,20.23442,0.1591952,25.67483
1746544176685,1746536747898,48.537772,35.079384,21,0,0,0,0,48.5376397834,35.0789808137,7697433698,7697433695,0,0,0,0,0,0,1746544176803,0.2213361,1.251446,8.499306,1746544176810,-0.01771457,0.02794626,0.005803049,0,0,0,0,1746544176830,1003.861,1746544176601,13,0,0,20.23442,0.1591952,25.67483
1746544176693,1746536747898,48.537772,35.079384,21,0,0,0,0,48.5376397834,35.0789808137,7697433698,7697433695,0,0,0,0,0,0,1746544176803,0.2213361,1.251446,8.499306,1746544176810,-0.01771457,0.02794626,0.005803049,1746544176856,-14.4625,2.825,-16.275,1746544176830,1003.861,1746544176601,13,0,0,20.23442,0.1591952,25.67483
1746544176717,1746536747898,48.537772,35.079384,21,0,0,0,0,48.5376397834,35.0789808137,7697433698,7697433695,0,0,0,0,0,0,1746544176872,0.3613162,1.16351,7.313064,1746544176810,-0.01771457,0.02794626,0.005803049,1746544176856,-14.4625,2.825,-16.275,1746544176830,1003.861,1746544176601,13,0,0,20.23785,0.09485815,25.67483
1746544176720,1746536747898,48.537772,35.079384,21,0,0,0,0,48.5376397834,35.0789808137,7697433698,7697433695,0,0,0,0,0,0,1746544176872,0.3613162,1.16351,7.313064,1746544176869,0.05100575,0.00503949,0.0003054236,1746544176856,-14.4625,2.825,-16.275,1746544176830,1003.861,1746544176601,13,0,0,20.23785,0.09485815,25.67483
1746544176725,1746544176053,48.536525,35.078854,10,4,3,16,0,48.5376421751,35.0789677205,7697433698,7697433695,0,0,0,0,0,0,1746544176872,0.3613162,1.16351,7.313064,1746544176869,0.05100575,0.00503949,0.0003054236,1746544176856,-14.4625,2.825,-16.275,1746544176830,1003.861,1746544176601,13,0,0,20.23785,0.09485815,25.67483
1746544177105,1746544176053,48.536525,35.078854,10,4,3,16,-74.5769729698,48.5376582565,35.0788796231,7697433695,7113309357,0,0,0,0,0,0,1746544176872,0.3613162,1.16351,7.313064,1746544177264,0.01466033,0.02137965,0.004886778,1746544176856,-14.4625,2.825,-16.275,1746544176830,1003.861,1746544176601,13,0,0,20.23785,0.09485815,25.67483
